c,gamma,accuracy,precision,recall
0.1,0.1,29.891304347826086,8.93,29.891304347826086
0.5,0.1,70.65217391304348,79.21,70.65217391304348
1.0,0.1,83.42391304347827,84.77,83.42391304347827
5.0,0.1,91.30434782608695,91.43,91.30434782608695
10.0,0.1,92.11956521739131,92.26,92.11956521739131
25.0,0.1,91.84782608695652,92.03,91.84782608695652
50.0,0.1,92.11956521739131,92.34,92.11956521739131
100.0,0.1,91.84782608695652,92.03,91.84782608695652
