Ulasan,Term,TF,IDF,TF-IDF
 ulasan1,area,1,5.6061696863211745,0.368748782353223
 ulasan1,bilang,1,5.075541435259004,0.3338464279098998
 ulasan1,bintang,2,3.5649493574615367,0.46897286677652494
 ulasan1,drop,1,6.52246041819533,0.42901829087069693
 ulasan1,jaring,1,2.3596786944200008,0.15520911674066817
 ulasan1,kasih,2,2.71579792842501,0.3572660961967021
 ulasan1,lelet,1,3.1129642337184795,0.20475687232472767
 ulasan1,terima,1,2.9599948889370524,0.19469523259891755
 ulasan1,terkadang,1,5.200704578213011,0.3420790999733954
 ulasan2,jangan,1,3.5520459526256287,0.4277484431959898
 ulasan2,jaring,1,2.3596786944200008,0.28415986207464544
 ulasan2,kecewa,1,3.2547944291576973,0.3919524883866054
 ulasan2,konsumen,1,3.303584593327129,0.39782795200534726
 ulasan2,lelet,1,3.1129642337184795,0.3748728542528004
 ulasan2,parah,1,3.646074902273905,0.4390717023440517
 ulasan2,tolong,1,2.506077397442941,0.3017896501289597
 ulasan3,asa,1,5.6061696863211745,0.1754987385309043
 ulasan3,ayam,1,7.215607598755275,0.22588150237502658
 ulasan3,baik,1,2.475032775760981,0.07747983993929544
 ulasan3,beh,1,7.215607598755275,0.22588150237502658
 ulasan3,cari,1,5.269697449699962,0.16496561941719368
 ulasan3,cinta,1,7.215607598755275,0.22588150237502658
 ulasan3,fikir,1,7.215607598755275,0.22588150237502658
 ulasan3,gak,1,2.7612603025017677,0.08644006995131134
 ulasan3,gin,1,3.689247074139114,0.11549029798723641
 ulasan3,google,1,6.116995310087166,0.19148991567970422
 ulasan3,habis,1,3.5520459526256287,0.11119527569966763
 ulasan3,hilang,1,3.2082744135228043,0.10043365505115613
 ulasan3,iya,1,2.932021036894646,0.09178566153225874
 ulasan3,jantan,1,7.215607598755275,0.22588150237502658
 ulasan3,jaring,4,2.3596786944200008,0.29547491951190763
 ulasan3,komen,1,6.810142490647111,0.21318859099831539
 ulasan3,lagi,1,6.810142490647111,0.21318859099831539
 ulasan3,mimin,1,6.810142490647111,0.21318859099831539
 ulasan3,miminku,1,7.215607598755275,0.22588150237502658
 ulasan3,parah,1,3.646074902273905,0.11413881165594139
 ulasan3,pas,1,3.6182953381668295,0.11326918431133468
 ulasan3,sabar,1,5.200704578213011,0.16280582715419312
 ulasan3,sayang,1,4.91302250576123,0.15380006321229317
 ulasan3,segitu,1,7.215607598755275,0.22588150237502658
 ulasan3,sekali,1,6.29931686688112,0.19719741384951547
 ulasan3,telur,1,7.215607598755275,0.22588150237502658
 ulasan3,tingkat,1,4.03755376840733,0.1263938897238707
 ulasan3,tolong,1,2.506077397442941,0.07845167851147544
 ulasan3,tunggu,2,4.412247217848741,0.27624701503713434
 ulasan3,xl,1,1.5808179955860258,0.04948682961723793
 ulasan4,aktif,1,3.6046896861110507,0.26092304240204484
 ulasan4,bonus,1,3.5912666657789103,0.259951426088779
 ulasan4,kouta,2,4.689878954447019,0.6789474777851592
 ulasan4,rugi,1,4.219875325201285,0.3054528417941929
 ulasan4,tidak,2,2.039457866181446,0.29524957632009136
 ulasan4,tiktok,1,6.52246041819533,0.47212391757874317
 ulasan5,aplikasi,1,2.225175011976539,0.0846610123009301
 ulasan5,bagus,1,2.932021036894646,0.11155431268780606
 ulasan5,bantu,1,4.03755376840733,0.15361640653566874
 ulasan5,ganggu,1,4.474767574830074,0.17025103673080716
 ulasan5,hilang,1,3.2082744135228043,0.12206489742429175
 ulasan5,isi,1,3.172556330920725,0.12070593508907561
 ulasan5,iya,2,2.932021036894646,0.22310862537561213
 ulasan5,kak,2,5.343805421853684,0.4066304664741594
 ulasan5,kerja,2,4.612917913310891,0.35101445782918195
 ulasan5,mohon,1,3.2082744135228043,0.12206489742429175
 ulasan5,nya,1,2.1625515887750675,0.08227838514870588
 ulasan5,pulsa,1,2.7213689734744655,0.10353965458835575
 ulasan5,sekolah,2,5.962844630259907,0.4537355128238259
 ulasan5,sih,1,3.5649493574615367,0.1356352735312067
 ulasan5,sinyal,2,2.340410275554124,0.17809071381932268
 ulasan5,tidak,1,2.039457866181446,0.07759505053161926
 ulasan5,tolong,1,2.506077397442941,0.09534847741416065
 ulasan5,tugas,2,6.29931686688112,0.4793389642469181
 ulasan5,udh,1,3.9967317738870745,0.15206325617148325
 ulasan5,xl,1,1.5808179955860258,0.06014522500455404
 ulasan6,aktif,1,3.6046896861110507,0.24304107902411445
 ulasan6,bagus,1,2.932021036894646,0.1976873513617406
 ulasan6,harga,2,3.765620052923688,0.5077831605775683
 ulasan6,murah,3,3.9014215940827497,0.7891434185921549
 ulasan6,nya,1,2.1625515887750675,0.14580696740868182
 ulasan7,aneh,1,4.689878954447019,0.24754550182163243
 ulasan7,aplikasi,4,2.225175011976539,0.46980493128367967
 ulasan7,baik,1,2.475032775760981,0.1306394549735199
 ulasan7,beli,1,2.3674912341567946,0.1249630984744172
 ulasan7,bikin,1,4.1710851610318525,0.22016205095215294
 ulasan7,buka,1,3.172556330920725,0.16745678441241738
 ulasan7,jangan,1,3.5520459526256287,0.1874873544449265
 ulasan7,lebih,1,4.353406717825807,0.22978551494937724
 ulasan7,macet,1,6.29931686688112,0.3324963330806102
 ulasan7,my,1,3.4428466606606367,0.181723497042507
 ulasan7,operator,1,4.541458949328746,0.2397114606866189
 ulasan7,paket,2,2.1950219738058516,0.2317193348881849
 ulasan7,pilih,1,4.443018876515493,0.2345155062791372
 ulasan7,pindah,1,4.195182712610913,0.22143399006961245
 ulasan7,sms,1,4.245193133185574,0.2240736860570167
 ulasan7,suruh,1,4.3252358408591105,0.22829857382718388
 ulasan7,unduh,1,4.353406717825807,0.22978551494937724
 ulasan7,xl,1,1.5808179955860258,0.08344018850101659
 ulasan8,aktif,1,3.6046896861110507,0.20864403901285447
 ulasan8,bonus,1,3.5912666657789103,0.20786709746677898
 ulasan8,cari,1,5.269697449699962,0.30501681310252626
 ulasan8,cuihh,1,7.215607598755275,0.4176485757253515
 ulasan8,gitu,1,4.353406717825807,0.2519807362538357
 ulasan8,hilang,1,3.2082744135228043,0.1856990171659322
 ulasan8,kuota,1,2.355795194393603,0.1363564321054324
 ulasan8,nafkah,1,7.215607598755275,0.4176485757253515
 ulasan8,najis,1,6.29931686688112,0.36461249887666086
 ulasan8,pulsa,1,2.7213689734744655,0.15751630895100738
 ulasan8,sedot,1,4.474767574830074,0.25900525752705233
 ulasan8,sisa,1,4.2978368666709965,0.24876428235574954
 ulasan8,utama,1,4.507557397653065,0.2609031743154696
 ulasan9,jaring,1,2.3596786944200008,0.1617762812051934
 ulasan9,kamar,1,7.215607598755275,0.4946919962971843
 ulasan9,ku,1,4.689878954447019,0.3215315620499881
