Formalisasi,Stopword Removal
"['saya', 'sedang', 'bermasalah', 'dengan', 'pengisian', 'pulsa', 'karena', 'masa', 'tenggang', 'xl', 'peduli', 'maya', 'dan', 'agen', 'sungguh', 'tidak', 'membantu', 'maya', 'robot', 'terbatas', 'dalam', 'cara', 'penyelesaian', 'agen', 'antrian', 'tidak', 'bergerak', 'sedikitpun', 'tolonglah', 'cepat', 'respon', 'cs', 'nya', 'kalah', 'sm', 'shopee', 'yang', 'gerak cepat', 'dan', 'terlihat', 'online', 'saat', 'menerima', 'pengaduan']","['bermasalah', 'pengisian', 'pulsa', 'tenggang', 'xl', 'peduli', 'maya', 'agen', 'sungguh', 'tidak', 'membantu', 'maya', 'robot', 'terbatas', 'penyelesaian', 'agen', 'antrian', 'tidak', 'bergerak', 'sedikitpun', 'tolonglah', 'cepat', 'respon', 'cs', 'nya', 'kalah', 'sm', 'shopee', 'gerak cepat', 'online', 'menerima', 'pengaduan']"
"['mantap', 'bisa', 'bayar', 'dengan', 'va', 'bca', 'kalau', 'beli', 'pulsa', 'di', 'myxl', 'terima kasih', 'kasih', 'xl']","['mantap', 'bayar', 'va', 'bca', 'beli', 'pulsa', 'myxl', 'terima kasih', 'kasih', 'xl']"
"['sebenarnya', 'bagi', 'masyarakat', 'awam', 'cukup', 'pintar', 'untuk', 'menggulangi', 'perangkat', 'kalian', 'pindah', 'ke', 'kartu', 'lain', 'kartu', 'xl', 'yang', 'serupa', 'agar', 'tidak', 'terjadi', 'rusak', 'atau', 'keluar', 'aplikasi', 'sendiri', 'membersihkan', 'penyimpanan', 'internal', 'agar', 'tidak', 'terjadi', 'lelet', 'pada', 'perangkat', 'jika', 'hal', 'hal', 'lain', 'seperti', 'terpotong', 'pulsa', 'lebih', 'baik', 'anda', 'semua', 'pilih', 'fitur', 'kontrol', 'pulsa', 'pada', 'laman', 'pengaturan', 'sekian', 'dari', 'saya', 'terima kasih']","['masyarakat', 'awam', 'pintar', 'menggulangi', 'perangkat', 'pindah', 'kartu', 'kartu', 'xl', 'tidak', 'rusak', 'aplikasi', 'membersihkan', 'penyimpanan', 'internal', 'tidak', 'lelet', 'perangkat', 'terpotong', 'pulsa', 'pilih', 'fitur', 'kontrol', 'pulsa', 'laman', 'pengaturan', 'sekian', 'terima kasih']"
"['harga', 'sdh', 'oke', 'lebih', 'terjangkau', 'dari', 'yang', 'lain', 'tapi', 'kualitas', 'jaringan', 'sangat', 'mengecewakan', 'tidak', 'stabil', 'bahkan', 'sinyal', 'sering', 'hilang', 'hilang', 'percuma', 'kuota', 'besar', 'tapi', 'lelet', 'parah', 'tolong', 'perbaiki']","['harga', 'sdh', 'oke', 'terjangkau', 'kualitas', 'jaringan', 'mengecewakan', 'tidak', 'stabil', 'sinyal', 'hilang', 'hilang', 'kuota', 'lelet', 'parah', 'tolong', 'perbaiki']"
"['kenapa', 'sinyal', 'xl', 'kalau', 'malam', 'jelek', 'banget', 'tapi', 'kalau', 'siang', 'bagus', 'banget']","['sinyal', 'xl', 'malam', 'jelek', 'banget', 'siang', 'bagus', 'banget']"
"['seru', 'banget', 'saya', 'baru', 'beli', 'paket', 'bayar', 'pakai', 'pulsa', 'terus', 'masih', 'ada', 'sisa', 'pulsa', 'ribu', 'paketnya', 'emang', 'sudah', 'masuk', 'sihh', 'terus', 'on', 'data', 'buka', 'ini', 'itu', 'yang', 'kesedot', 'pulsanya', 'kipak', 'mana', 'habis', 'tuh', 'ribu', 'bohong', 'tolong', 'untuk', 'xl', 'kalau', 'mau', 'sedot', 'pulsa', 'usahakan', 'ada', 'konfirmasi', 'atau', 'tidaknya', 'soalnya', 'kakak', 'saya', 'juga', 'sering', 'mengalami', 'seperti', 'itu', 'saya', 'dan', 'kakak', 'saya', 'konsumen', 'setia', 'xl', 'mungkin', 'xl', 'jaringan', 'lumayan', 'bagus', 'dan', 'terkadang', 'ada', 'diskon', 'gede', 'an', 'jadi', 'tolong', 'iya', 'di', 'perbaiki', 'lagi', 'agar', 'tidak', 'mengecewakan', 'konsumen']","['seru', 'banget', 'beli', 'paket', 'bayar', 'pakai', 'pulsa', 'sisa', 'pulsa', 'ribu', 'paketnya', 'emang', 'masuk', 'sihh', 'on', 'data', 'buka', 'kesedot', 'pulsanya', 'kipak', 'habis', 'tuh', 'ribu', 'bohong', 'tolong', 'xl', 'sedot', 'pulsa', 'usahakan', 'konfirmasi', 'tidaknya', 'kakak', 'mengalami', 'kakak', 'konsumen', 'setia', 'xl', 'xl', 'jaringan', 'lumayan', 'bagus', 'terkadang', 'diskon', 'gede', 'an', 'tolong', 'iya', 'perbaiki', 'tidak', 'mengecewakan', 'konsumen']"
"['mahal', 'harga', 'tidak', 'merakyat', 'kuota', 'kebanyakan', 'buat', 'youtube', 'kuota', 'internet', 'besar', 'harusnya', 'sisanya', 'kuota', 'youtube', 'giga', 'buat', 'seminggu', 'cukup', 'buat', 'apa', 'di', 'pikir', 'dong', 'yang', 'realistis', 'situ', 'kan', 'orang', 'pintar']","['mahal', 'harga', 'tidak', 'merakyat', 'kuota', 'kebanyakan', 'youtube', 'kuota', 'internet', 'sisanya', 'kuota', 'youtube', 'giga', 'seminggu', 'pikir', 'realistis', 'situ', 'orang', 'pintar']"
"['bagus', 'sekali', 'aplikasi', 'nya', 'saya', 'suka', 'terima', 'kasih', 'my', 'xl', 'sudah', 'memberi', 'kami', 'paket', 'data', 'gb']","['bagus', 'aplikasi', 'nya', 'suka', 'terima', 'kasih', 'my', 'xl', 'paket', 'data']"
"['mau', 'login', 'susah', 'benar', 'autentikasi', 'gagal', 'melulu', 'padahal', 'sudah', 'masukkan', 'otp', 'mohon', 'dijawab']","['login', 'susah', 'autentikasi', 'gagal', 'melulu', 'masukkan', 'otp', 'mohon']"
"['aplikasi', 'selalu', 'terhenti', 'jadi', 'gak', 'bisa', 'di', 'buka', 'sudah', 'copot', 'dan', 'pasang', 'lagi', 'yang', 'baru', 'tapi', 'tetap', 'aplikasi', 'terhenti', 'atau', 'aplikasi', 'myxl', 'tidak', 'menanggapi']","['aplikasi', 'terhenti', 'gak', 'buka', 'copot', 'pasang', 'aplikasi', 'terhenti', 'aplikasi', 'myxl', 'tidak', 'menanggapi']"
