Stopword Removal,Stemming
"['senang', 'memakai', 'aplikasi', 'promo', 'murah']",senang pakai aplikasi promo murah
"['gk', 'beli', 'paket', 'data', 'xl', 'dimana', 'lelet', 'sinyal', 'nya', 'parah', 'beli', 'paket', 'telpon', 'biar', 'gk', 'hangus', 'nomor']",gk beli paket data xl mana lelet sinyal nya parah beli paket telpon biar gk hangus nomor
"['aplikasi', 'berat', 'lag', 'beda', 'axisnet', 'ringan', 'gak', 'berat', 'bintangnya']",aplikasi berat lag beda axisnet ringan gak berat bintang
"['jelek', 'parah', 'penanganan', 'keluhan', 'pesan', 'langsung', 'my', 'xl', 'super', 'lelet', 'jawabannya', 'mengulang', 'ulang', 'disuruh', 'menunggu', 'bolak', 'menunggu', 'gk', 'lha', 'berulang', 'kali', 'jelek', 'parah', 'pelayanannya', 'beli', 'paket', 'ekstra', 'kombo', 'vip', 'plus', 'bonusnya', 'gak', 'sesuai', 'penipuan']",jelek parah tangan keluh pesan langsung my xl super lelet jawab ulang ulang suruh tunggu bolak tunggu gk lha ulang kali jelek parah layan beli paket ekstra kombo vip plus bonus gak sesuai tipu
"['unduh', 'meningkatkan', 'tidak', 'masuk', 'halaman', 'layar', 'seluler', 'cek', 'kuota', 'masuk', 'playstore', 'cari', 'my', 'xl']",unduh tingkat tidak masuk halaman layar seluler cek kuota masuk playstore cari my xl
"['buka', 'myxl', 'susah', 'pakai', 'wifi', 'operator', 'dibuka', 'aplikasi', 'lancar']",buka myxl susah pakai wifi operator buka aplikasi lancar
"['hujan', 'lelet', 'gerimis', 'lelet', 'najis', 'sumpah', 'xl', 'udh', 'jaman', 'gprs', 'berasa', 'monyet', 'ccuih']",hujan lelet gerimis lelet najis sumpah xl udh jaman gprs asa monyet ccuih
"['sinyalnya', 'susah', 'tolong', 'donk', 'perbaiki', 'terima kasih']",sinyal susah tolong donk baik terima kasih
"['internet', 'gak', 'berjam', 'jam', 'fitur', 'langsung', 'pesan', 'nya', 'gak', 'telepon', 'cs', 'sibuk', 'berhenti', 'langganan', 'mesti', 'nunggu']",internet gak jam jam fitur langsung pesan nya gak telepon cs sibuk henti langgan mesti nunggu
"['mendingan', 'jaringan', 'muncul', 'aplikasi', 'keseringan', 'terbaru']",mending jaring muncul aplikasi sering baru
"['xl', 'aktif', 'nya', 'kalah', 'telkomsel', 'telkomsel', 'promo', 'nya', 'xl', 'harap', 'xl', 'terima', 'kasih']",xl aktif nya kalah telkomsel telkomsel promo nya xl harap xl terima kasih
"['diskon', 'kuota', 'nya', 'konsisten', 'kasih', 'terima kasih', 'myxl']",diskon kuota nya konsisten kasih terima kasih myxl
"['terima kasih', 'myxl', 'banget', 'penggunanya', 'kasih', 'bonus', 'aman', 'memakai', 'xl', 'tidak', 'provider', 'menjelajah', 'sebentar', 'kena', 'sms', 'langganan', 'oh', 'iya', 'beli', 'paket', 'tolong', 'baca', 'keterangan', 'paket', 'beli', 'indonesia', 'darurat', 'membaca', 'semoga', 'xl']",terima kasih myxl banget guna kasih bonus aman pakai xl tidak provider jelajah sebentar kena sms langgan oh iya beli paket tolong baca terang paket beli indonesia darurat baca moga xl
"['rekomendasi', 'kaum', 'miskin', 'kouta', 'pakai', 'xl', 'nya', 'pakai', 'xl', 'menang', 'promo', 'rekomendasi', 'banget', 'pokok', 'sinyal', 'desa', 'ku', 'lumayan', 'cepat', 'mb', 'perdetik', 'nge', 'unduh']",rekomendasi kaum miskin kouta pakai xl nya pakai xl menang promo rekomendasi banget pokok sinyal desa ku lumayan cepat mb detik nge unduh
"['kecewa', 'xl', 'kali', 'diskon', 'membeli', 'pulsa', 'membeli', 'pulsa', 'diskon', 'hilang', 'merugikan']",kecewa xl kali diskon beli pulsa beli pulsa diskon hilang rugi
"['mudah', 'lakukan', 'aplikasi', 'membantu', 'pilih', 'paket', 'data', 'bonusnya']",mudah laku aplikasi bantu pilih paket data bonus
"['buruk', 'pelayanan', 'xl', 'tidak', 'terjawab', 'mesin', 'penjawab', 'ngobrol', 'telepon', 'cs', 'diputus', 'total', 'pelayanan', 'pesan', 'buruk', 'mesin', 'mesin', 'penjawab', 'menerima']",buruk layan xl tidak jawab mesin jawab ngobrol telepon cs putus total layan pesan buruk mesin mesin jawab terima
"['tong', 'dibenahi', 'jaringan', 'aplikasi', 'jam', 'gak', 'selesai', 'buka', 'aplikasi', 'xl', 'sial']",tong benah jaring aplikasi jam gak selesai buka aplikasi xl sial
"['pulsa', 'potong', 'isi', 'ulang', 'data', 'nga', 'nyala']",pulsa potong isi ulang data nga nyala
"['jaringan', 'xl', 'pabuaran', 'bojonggede', 'bogor', 'payah', 'unduh', 'myxl', 'playstore', 'muter', 'alias', 'memuat', 'gmn', 'kasih', 'bintang', 'kakak', 'maya', 'jaringan', 'xl', 'mohon', 'diperbaiki', 'keluhan', 'konsumen', 'jangan', 'pakai', 'sistem', 'mesin', 'robot']",jaring xl pabuaran bojonggede bogor payah unduh myxl playstore muter alias muat gmn kasih bintang kakak maya jaring xl mohon baik keluh konsumen jangan pakai sistem mesin robot
"['pengguna', 'jaringan', 'error', 'kecewa']",guna jaring error kecewa
"['lag', 'melulu', 'main', 'game', 'online', 'restart', 'melulu', 'lelet', 'loading', 'hujan', 'parah', 'gak', 'suasana', 'make', 'seluler', 'tolong', 'atasi', 'seluler', 'kasian', 'banting', 'melulu']",lag melulu main game online restart melulu lelet loading hujan parah gak suasana make seluler tolong atas seluler kasi banting melulu
"['xl', 'memudahkan', 'berkomunikasi', 'cepat', 'praktis', 'efisien', 'terjangkau', 'semoga', 'xl', 'maju', 'mengikuti', 'perkembangan', 'jaman', 'memudahkan', 'berkomunikasi', 'pengguna', 'terima', 'kasih', 'xl', 'you', 'are', 'the', 'terbaik']",xl mudah komunikasi cepat praktis efisien jangkau moga xl maju ikut kembang jaman mudah komunikasi guna terima kasih xl you are the baik
"['sinyal', 'internet', 'busuk', 'bukanya', 'bagus', 'telepon', 'cs', 'ujung', 'nya', 'suruh', 'mati', 'seluler', 'doang', 'kaya', 'gini', 'mendingan', 'pindah', 'telkomsel']",sinyal internet busuk buka bagus telepon cs ujung nya suruh mati seluler doang kaya gin mending pindah telkomsel
"['main', 'game', 'online', 'lag', 'payah', 'payah', 'payah', 'halo', 'xl', 'bangkrut', 'kah', 'sinyal', 'gak', 'stabil', 'bikin', 'kalah', 'beruntun', '*', 'sya', 'pemakai', 'kartu', 'xl', 'lumayan', 'klamaan', 'kecewa', 'anjing']",main game online lag payah payah payah halo xl bangkrut kah sinyal gak stabil bikin kalah untun  sya pakai kartu xl lumayan klamaan kecewa anjing
"['diskon', 'nya', 'terima kasih', 'xl', 'kuota', 'belajar', 'daring', 'anak', 'jangan', 'lelah', 'diskon', 'pandemi', 'orang tua', 'membelikan', 'kuota', 'ramah', 'dikantong']",diskon nya terima kasih xl kuota ajar daring anak jangan lelah diskon pandemi orang tua beli kuota ramah kantong
"['sinyal', 'xl', 'buruk', 'terima kasih', 'bagus', 'sinyalnya', 'ujan', 'lancar']",sinyal xl buruk terima kasih bagus sinyal ujan lancar
"['aplikasi', 'membantu', 'cepat', 'menanggapi', 'permasalahan', 'dihadapi', 'pengguna']",aplikasi bantu cepat tanggap masalah hadap guna
"['transaksi', 'bca', 'virtual', 'akun']",transaksi bca virtual akun
"['xl', 'jelek', 'banget', 'udh', 'kontrol', 'pulsa', 'pulsa', 'sedot', 'gak', 'pinjam', 'pulsa', 'memperbaiki', 'ganti', 'kartu', 'copot']",xl jelek banget udh kontrol pulsa pulsa sedot gak pinjam pulsa baik ganti kartu copot
"['jaringan', 'internet', 'busuk', 'sinyal', 'gak', 'dipake', 'anjing', 'mendingan', 'pindah', 'operator']",jaring internet busuk sinyal gak dipake anjing mending pindah operator
"['hemat', 'saran', 'kuota', 'tidak', 'hangus', 'ketawa', 'tx']",hemat saran kuota tidak hangus ketawa tx
"['cek', 'kuota', 'simpel', 'terbaik']",cek kuota simpel baik
"['tolong', 'iya', 'tolong', 'banget', 'perbaiki', 'sinyal', 'perluas', 'jangkauan', 'lte', 'nya', 'susah', 'banget', 'pakai', 'restart', 'lelet', 'mohon', 'mendukung', 'banget', 'xl']",tolong iya tolong banget baik sinyal luas jangkau lte nya susah banget pakai restart lelet mohon dukung banget xl
"['pulsa', 'sisa', 'paketan', 'berkurang', 'sms', 'ga', 'sedot', 'tolong']",pulsa sisa paket kurang sms ga sedot tolong
"['aplikasi', 'bermanfaat', 'nya', 'paketan', 'iseh', 'ono', 'susah', 'mengecek', 'paketan', 'masuk', 'aplikasi', 'cek', 'paketan', 'dw', 'sederhana', 'jaringan', 'nak', 'ning', 'daerahmu', 'jelek', 'iya', 'teman', 'mu', 'tetanggamu', 'pakai', 'kartu', 'sinyal', 'ndek', 'daerah', 'sinyal', 'berdiri', 'enak']",aplikasi manfaat nya paket iseh ono susah ecek paket masuk aplikasi cek paket dw sederhana jaring nak ning daerah jelek iya teman mu tetangga pakai kartu sinyal ndek daerah sinyal diri enak
"['aplikasi', 'nya', 'buruk', 'tidak', 'buka', 'pas', 'kuota', 'habis', 'pelayanan', 'langsung', 'pesan', 'nya', 'hancur', 'ga', 'respon', 'cs']",aplikasi nya buruk tidak buka pas kuota habis layan langsung pesan nya hancur ga respon cs
"['selamat', 'siang', 'min', 'cuman', 'kasih', 'informasi', 'tolong', 'daerah', 'berlawanan', 'laki', 'siang', 'malam', 'sinyal', 'xl', 'tidak', 'min', 'sekian', 'informasi', 'terima', 'kasih']",selamat siang min cuman kasih informasi tolong daerah lawan laki siang malam sinyal xl tidak min sekian informasi terima kasih
"['semoga', 'pilihan', 'paket', 'ekonomis', 'kompetitor', 'hemat']",moga pilih paket ekonomis kompetitor hemat
"['lumayan', 'bagus', 'aplikasi', 'nya', 'bagus', 'beli', 'paket', 'game', 'pakai', 'reguler']",lumayan bagus aplikasi nya bagus beli paket game pakai reguler
"['tolong', 'sinyal', 'perbaiki', 'main', 'ml', 'tidak bisa', 'wa', 'menunda', 'jangan', 'promo', 'melulu', 'sinyal', 'gitu']",tolong sinyal baik main ml tidak bisa wa tunda jangan promo melulu sinyal gitu
"['buka', 'aplikasi', 'myxl', 'terbaru']",buka aplikasi myxl baru
"['ambil', 'bonus', 'kuota', 'isi', 'pulsa', 'link', 'gagal', 'bonus', 'ga', 'dipakai']",ambil bonus kuota isi pulsa link gagal bonus ga pakai
"['bonus', 'nya', 'ga', 'komplain', 'maya', 'puas', 'membahas', 'keluhan', 'maya', 'sistem', 'kalo', 'tuh', 'langsung', 'hubungi', 'cs', 'sdm', 'nya']",bonus nya ga komplain maya puas bahas keluh maya sistem kalo tuh langsung hubung cs sdm nya
"['tingkatkan', 'kualitas', 'kuota', 'nya', 'harga', 'murah', 'gede', 'konsumen']",tingkat kualitas kuota nya harga murah gede konsumen
"['nomor', 'tidak', 'terdaftar', 'jaringan', 'nomor', 'perpanjang', 'langsung', 'pesan', 'xl', 'peduli', 'kalah', 'antrian', 'rumah', 'sakit']",nomor tidak daftar jaring nomor panjang langsung pesan xl peduli kalah antri rumah sakit
"['tipis', 'jarak', 'aktif', 'pengisian', 'ulang', 'pulsa', 'pakai', 'doang', 'emang', 'jaman', 'seluler', 'orang', 'pakai', 'seluler']",tipis jarak aktif isi ulang pulsa pakai doang emang jaman seluler orang pakai seluler
"['gini', 'ye', 'pas', 'ujan', 'sinyal', 'nya', 'jelek', 'banget', 'yak', 'perasaan', 'nanggepin', 'komentar', 'pengguna', 'tidak', 'samain', 'gini', 'tidak', 'baca', 'kaya', 'diam', 'doang', 'bng']",gin ye pas ujan sinyal nya jelek banget yak asa nanggepin komentar guna tidak samain gin tidak baca kaya diam doang bng
"['kartu', 'gk', 'jaringan', 'lemah', 'bukan', 'nya', 'bagus', 'buruk']",kartu gk jaring lemah bukan nya bagus buruk
"['pilihan', 'paket', 'bervariasi', 'suka', 'sinyal', 'oke', 'kekurangan', 'nya', 'tidak', 'dibilang', 'kekurangan', 'cuman', 'pas', 'padam', 'listrik', 'sinyal', 'padam', 'hilang', 'sinyalnya']",pilih paket variasi suka sinyal oke kurang nya tidak bilang kurang cuman pas padam listrik sinyal padam hilang sinyal
"['kekecewaan', 'kali', 'sesal', 'beli', 'kartu', 'perdana', 'nya', 'beli', 'xl', 'habis', 'ganti', 'tri', 'coba', 'beli', 'perdana', 'xl', 'istri', 'kuota', 'borosnya', 'bukan', 'main', 'kekuatan', 'sinyal']",kecewa kali sesal beli kartu perdana nya beli xl habis ganti tri coba beli perdana xl istri kuota boros bukan main kuat sinyal
"['bikin', 'aplikasi', 'versi', 'lite', 'biar', 'pakai', 'seluler', 'seluler', 'versi', 'buka', 'tolong', 'perhatikan', 'pengguna', 'seluler', 'seluler', 'jaman dulu']",bikin aplikasi versi lite biar pakai seluler seluler versi buka tolong perhati guna seluler seluler jaman dulu
"['bagus', 'cuaca', 'buruk', 'sinyal', 'nya', 'hilang', 'tolong', 'perbaiki']",bagus cuaca buruk sinyal nya hilang tolong baik
"['lebih baik', 'hapus', 'namanya', 'unlimited', 'turbo', 'lambat', 'parah', 'kali', 'pakai', 'xl', 'daerah', 'kebut', 'lambat', 'parah', 'lantai', 'sosial media', 'lancar', 'on the way, sedang di jalan', 'cari', 'provider', 'cocok', 'daerah', 'terima kasih']",lebih baik hapus nama unlimited turbo lambat parah kali pakai xl daerah kebut lambat parah lantai sosial media lancar on the way sedang di jalan cari provider cocok daerah terima kasih
"['pelayanan', '*', 'buruk', 'tidak', 'sesuai', 'pulsa', 'beli', 'pengaktifan', 'paket', 'gak', 'udh', 'mengalami', 'kaya', 'gini', 'kapok', 'pakai', 'xl']",layan  buruk tidak sesuai pulsa beli aktif paket gak udh alami kaya gin kapok pakai xl
"['terima kasih', 'kasih', 'my', 'xl', 'versi', 'semoga', 'nya', 'nyaman', 'nan', 'sukses']",terima kasih kasih my xl versi moga nya nyaman nan sukses
"['bulanan', 'daerah', 'sinyalnya', 'suka', 'gak', 'stabil', 'restart', 'mantap', 'xl', 'peduli', 'suruh', 'mode', 'pesawat', 'restart', 'gak', 'xl', 'sulit', 'sinyalnya', 'tu', 'sinyal', 'yuk', 'xl', 'perbaikilah', 'sinyal', 'mu']",bulan daerah sinyal suka gak stabil restart mantap xl peduli suruh mode pesawat restart gak xl sulit sinyal tu sinyal yuk xl baik sinyal mu
"['ribet', 'beli', 'kouta', 'xtra', 'kombo', 'mini', 'gk', 'hilang', 'ntah', 'kemana', 'disuruh', 'beli', 'vip', 'tertera', 'reguler', 'bawa', 'kombo', 'plus', 'vip']",ribet beli kouta xtra kombo mini gk hilang ntah mana suruh beli vip tera reguler bawa kombo plus vip
"['aplikasinya', 'bagus', 'aneh', 'xl', 'pakai', 'main', 'game', 'perang', 'royal', 'jaringan', 'nya', 'nga', 'stabil', 'ulang']",aplikasi bagus aneh xl pakai main game perang royal jaring nya nga stabil ulang
"['xl', 'alangkah', 'baiknya', 'kedepan', 'nya', 'kembangkan', 'fitur', 'bonus', 'pemain', 'mantap']",xl alangkah baik depan nya kembang fitur bonus main mantap
"['bagus', 'tolong', 'perbagus', 'pemakai', 'xl', 'puas', 'pelayanan', 'aplikasi']",bagus tolong bagus pakai xl puas layan aplikasi
"['ayo', 'sinyalnya', 'hilang', 'hilang', 'iya', 'masuk', 'udh', 'kali', 'hilang']",ayo sinyal hilang hilang iya masuk udh kali hilang
"['xl', 'sinyal', 'nya', 'sinyal', 'nya', 'jelek', 'tolong', 'perbaiki', 'pengguna', 'xl', 'nyaman', 'benerin', 'iya', 'sinyal', 'nya', 'bagus']",xl sinyal nya sinyal nya jelek tolong baik guna xl nyaman benerin iya sinyal nya bagus
"['sinyal', 'bagus', 'harga', 'promo', 'tidak', 'mengerti', 'hilang', 'harga', 'kompetitif', 'seimbang', 'kualitasnya']",sinyal bagus harga promo tidak erti hilang harga kompetitif imbang kualitas
"['jaringan', 'bos', 'biar', 'lancar', 'area', 'jateng', 'harga', 'paketan', 'mahal', 'bos']",jaring bos biar lancar area jateng harga paket mahal bos
"['sinyal', 'xl', 'bagus', 'wilayah', 'bangka', 'provinsi', 'kepulauan', 'bangka', 'belitung', 'pertahankan', 'mantap', 'rekomendasi']",sinyal xl bagus wilayah bangka provinsi pulau bangka belitung tahan mantap rekomendasi
"['nunggu', 'agen', 'jam', 'disuruh', 'nunggu', 'kecewa', 'xl', 'pulsa', 'kepotong', 'data', 'seluler', 'mati', 'isi', 'pulsa', 'mendesak', 'dipotong', 'kecewa']",nunggu agen jam suruh nunggu kecewa xl pulsa potong data seluler mati isi pulsa desak potong kecewa
"['aplikasi', 'nya', 'sih', 'bagus', 'jaringan', 'daerah', 'solo', 'banget', 'gangguan', 'mohon', 'perbaiki']",aplikasi nya sih bagus jaring daerah solo banget ganggu mohon baik
"['jaringan', 'nya', 'bagus', 'tolong', 'perbaiki', 'iya', 'terima kasih']",jaring nya bagus tolong baik iya terima kasih
"['beli', 'kali', 'masuknya', 'paket', 'paket', 'xtra', 'kuota', 'utama', 'youtube', 'beli', 'ovo', 'diproses', 'nya', 'beli', 'paket', 'tokped', 'langsung', 'masuk', 'tidak', 'cek', 'ovo', 'berhasil', 'cek', 'aplikasi', 'masuk', 'paketnya', 'kuota', 'utama', 'ga', 'palet', 'akumulasinya', 'aplikasi', 'nya', 'lelet', 'pakai', 'mode', 'game', 'pendorong', 'samsung']",beli kali masuk paket paket xtra kuota utama youtube beli ovo proses nya beli paket tokped langsung masuk tidak cek ovo hasil cek aplikasi masuk paket kuota utama ga palet akumulasi aplikasi nya lelet pakai mode game dorong samsung
"['terbaru', 'app', 'tidak', 'dibuka', 'sdh', 'copot', 'pasang', 'tidak', 'buka', 'gmn']",baru app tidak buka sdh copot pasang tidak buka gmn
"['aplikasi', 'terputus', 'masuk', 'kode', 'otp', 'ulang']",aplikasi putus masuk kode otp ulang
"['saran', 'donk', 'pembayaran', 'isi', 'pulsa', 'nya', 'akulaku', 'pembayaran', 'akulaku', 'bintang']",saran donk bayar isi pulsa nya akulaku bayar akulaku bintang
"['aplikasi', 'si', 'kadang', 'senang', 'pakai', 'myxl', 'kadang', 'emosi', 'banget', 'kuota', 'jaringan', 'lancar', 'coba', 'main', 'gosok', 'ale', 'alee', 'giliran', 'butuh', 'banget', 'kaya', 'gini']",aplikasi si kadang senang pakai myxl kadang emosi banget kuota jaring lancar coba main gosok ale alee gilir butuh banget kaya gin
"['tolong', 'sinyalnya', 'diperbaiki', 'wa', 'susah', 'game']",tolong sinyal baik wa susah game
"['terima kasih', 'maaf', 'bintang', 'kurangi', 'hancur', 'jaringan', 'ditempat', 'hujan', 'dikit', 'kacau', 'tu', 'jaringan', 'konsumen', 'kecewa', 'mohon', 'teknisi', 'nya']",terima kasih maaf bintang kurang hancur jaring tempat hujan dikit kacau tu jaring konsumen kecewa mohon teknisi nya
"['pulsa', 'ko', 'berkurang', 'udh', 'paket', 'data', 'kecewa', 'menyesal', 'xl']",pulsa ko kurang udh paket data kecewa sesal xl
"['semoga', 'lembata', 'ntt', 'sinyal', 'dikuatkan', 'towernya', 'bertambah', 'daerah', 'susah', 'internet', 'menunggu', 'lambat', 'tingkatkan', 'sinyal', 'internet', 'nya']",moga lembata ntt sinyal kuat towernya tambah daerah susah internet tunggu lambat tingkat sinyal internet nya
"['terima', 'kasih', 'aplikasi', 'xl', 'fitur', 'bagus', 'senang', 'point', 'bonus', 'ditukarkan', 'mempercayai', 'aplikasi', 'xl', 'suka', 'isi', 'paketan', 'suka', 'isi', 'top', 'up', 'game', 'sukses', 'aplikasi', 'xl']",terima kasih aplikasi xl fitur bagus senang point bonus tukar percaya aplikasi xl suka isi paket suka isi top up game sukses aplikasi xl
"['isi', 'pulsa', 'sisa', 'beli', 'paket', 'pulsa', 'hilang', 'tidak', 'pemakaian', 'sms', 'dan lain lain', 'kaya', 'lintah', 'darat', 'dasar', 'lumayan', 'sisa', 'ribu', 'pulsa']",isi pulsa sisa beli paket pulsa hilang tidak pakai sms dan lain lain kaya lintah darat dasar lumayan sisa ribu pulsa
"['aplikasi', 'konyol', 'beli', 'paket', 'data', 'sisa', 'mb', 'youtube', 'isi', 'hilang', 'tolong', 'merugikan', 'konsumen', 'xl', 'gini', 'pindah', 'kekartu', 'habis', 'disuruh', 'hubungin', 'myxl', 'peduli', 'dibaca', 'doang', 'kecewa']",aplikasi konyol beli paket data sisa mb youtube isi hilang tolong rugi konsumen xl gin pindah kartu habis suruh hubungin myxl peduli baca doang kecewa
"['pengguna', 'xl', 'prioritas', 'kecewa', 'penagihan', 'berulang', 'ulang', 'membengkak', 'tidak', 'sewajarnya', 'aplikasi', 'langsung', 'pesan', 'tidak', 'respon', 'mohon', 'perhatian', 'konsumen']",guna xl prioritas kecewa tagih ulang ulang bengkak tidak wajar aplikasi langsung pesan tidak respon mohon perhati konsumen
"['xl', 'lelet', 'nya', 'tidak', 'buka', 'kuota', 'beli', 'berulang', 'kali', 'restart', 'seluler', 'mode', 'pesawat', 'lelet', 'kesel', 'gini', 'auto', 'pindah', 'operator']",xl lelet nya tidak buka kuota beli ulang kali restart seluler mode pesawat lelet kesel gin auto pindah operator
"['stabil', 'sih', 'main', 'game', 'lancar', 'gak', 'telkomsel', 'telkomsel', 'lemas', 'lemas', 'pakai', 'main', 'game', 'lag', 'parah', 'pakai', 'kuota', 'reguler', 'sinyal', 'nya', 'lemas', 'nyaa', 'bikin', 'darah', 'untung', 'xl', 'pakai', 'telkomsel', 'muak', 'jaringan', 'tsel', 'auto', 'pindah', 'xl', 'terima', 'kasih', 'xl']",stabil sih main game lancar gak telkomsel telkomsel lemas lemas pakai main game lag parah pakai kuota reguler sinyal nya lemas nyaa bikin darah untung xl pakai telkomsel muak jaring tsel auto pindah xl terima kasih xl
"['ok', 'ch', 'bintang', 'perbaiki', 'sinyalnya', 'kecewa', 'sinyal', 'daerah', 'hilang', 'jam', 'sore', 'keatas', 'aduh', 'parah']",ok ch bintang baik sinyal kecewa sinyal daerah hilang jam sore atas aduh parah
"['aplikasi', 'berharap', 'jaringan', 'penuh']",aplikasi harap jaring penuh
"['layanan', 'xl', 'mudah', 'aplikasi', 'promo', 'potongan', 'harga', 'tidak', 'sebatas', '*', 'seluler', 'spesifikasi', 'rendah', 'seluler', 'paksa', 'tutup', 'myxl', 'dibuka', 'berulang', 'ulang']",layan xl mudah aplikasi promo potong harga tidak batas  seluler spesifikasi rendah seluler paksa tutup myxl buka ulang ulang
"['terima kasih', 'pelayanan', 'nya', 'bagus', 'jaringan', 'nya', 'kota', 'gorontalo', 'memadai', 'jaringan', 'seminggu', 'hilang', 'jaringannya', 'mohon', 'diperbaiki', 'kualitasnya', 'selebihnya', 'bagus']",terima kasih layan nya bagus jaring nya kota gorontalo pada jaring minggu hilang jaring mohon baik kualitas lebih bagus
"['aplikasi', 'rusak', 'masak', 'beli', 'paket', 'tulisan', 'aplikasi', 'tidak', 'tanggap', 'sesal', 'beli', 'xl']",aplikasi rusak masak beli paket tulis aplikasi tidak tanggap sesal beli xl
"['paska', 'bayar', 'gitu', 'uang', 'deposit', '&', 'batas', 'limit', 'pemakaian', 'promo', 'paket', 'internet', 'tetep', 'bayar', 'kaya', 'pra', 'bayar']",paska bayar gitu uang deposit  batas limit pakai promo paket internet tetep bayar kaya pra bayar
"['bintang', 'pakai', 'xl', 'semoga', 'xl']",bintang pakai xl moga xl
"['mantap', 'ga', 'repot', 'pakai', 'aplikasinya', 'tinggal', 'pilih', 'pilih', 'pencet', 'beli']",mantap ga repot pakai aplikasi tinggal pilih pilih pencet beli
"['maju', 'sinyalnya', 'gak', 'lelet', 'main', 'game', 'online', 'terima kasih', 'xl', 'puas', 'pakai']",maju sinyal gak lelet main game online terima kasih xl puas pakai
"['unduh', 'rak', 'keno', 'buka', 'wes', 'tidak', 'daftar', 'habis', 'habis', 'paketan', 'otk', 'anjing', 'ok', 'unduh', 'te', 'nniywhjsjnjdujnhdugsgjijxhghgbd', 'unik', 'menarik', 'bawa', 'mobil', 'reply', 'bawa', 'ku', 'beli', 'lokasimu', 'tersedia', 'iklan', 'telepon', 'facebook', 'facebook', 'jon', 'bon', 'jovi', 'be', 'my', 'bayi', 'ku', 'beli']",unduh rak keno buka wes tidak daftar habis habis paket otk anjing ok unduh te nniywhjsjnjdujnhdugsgjijxhghgbd unik tarik bawa mobil reply bawa ku beli lokasi sedia iklan telepon facebook facebook jon bon jovi be my bayi ku beli
"['kasih', 'bintang', 'dilokasi', 'tinggal', 'jaringan', 'nya', 'optimal', 'diluar', 'rumah', 'jaringan', 'nya', 'ok']",kasih bintang lokasi tinggal jaring nya optimal luar rumah jaring nya ok
"['teramat', 'kecewa', 'xl', 'kali', 'pulsa', 'tersedot', 'tidak', 'membeli', 'pulsa', 'bonus', 'kuota', 'sengaja', 'tidak', 'paket', 'pulsa', 'kuota', 'bonus', 'isi', 'pulsa', 'pulsa', 'tersedot', 'mengaktifkan', 'fitur', 'pulsa', 'aman', 'membeli', 'paket', 'kuota', 'xtra', 'kombo', 'plus', 'pulsa', 'terpotong', 'masuk', 'merugikan']",amat kecewa xl kali pulsa sedot tidak beli pulsa bonus kuota sengaja tidak paket pulsa kuota bonus isi pulsa pulsa sedot aktif fitur pulsa aman beli paket kuota xtra kombo plus pulsa potong masuk rugi
"['sih', 'niat', 'jualan', 'gak', 'aplikasi', 'gak', 'penawaran', 'paket', 'kuota', 'gak', 'banget', 'aplikasi', 'xl', 'gunanya', 'aplikasi', 'xl', 'beli', 'kuota', 'gak', 'menu', 'nya', 'aneh']",sih niat jual gak aplikasi gak tawar paket kuota gak banget aplikasi xl guna aplikasi xl beli kuota gak menu nya aneh
"['aplikasi', 'error', 'gak', 'buka', 'aplikasinya', 'buka', 'detik', 'suruh', 'coba', 'telepon', 'xl', 'suruh', 'menunggu', 'perbaiki', 'kenyataannya', 'kesini', 'gak', 'aplikasinya']",aplikasi error gak buka aplikasi buka detik suruh coba telepon xl suruh tunggu baik nyata kesini gak aplikasi
"['jelek', 'banget', 'ga', 'kaya', 'gini', 'mengisi', 'kuota', 'pembayaran', 'berhasil', 'ga', 'masuk', 'kuota', 'konsumen', 'service', 'nya', 'lelet', 'banget', 'ga', 'respon', 'respon', 'nunggu', 'antri', 'itupun', 'sejam', 'ga', 'respon', 'memangnya', 'perusahaan', 'gede', 'ga', 'agen', 'cs']",jelek banget ga kaya gin isi kuota bayar hasil ga masuk kuota konsumen service nya lelet banget ga respon respon nunggu antri itu jam ga respon memang usaha gede ga agen cs
"['aplikasi', 'jujur', 'bagus', 'tolong', 'perbaiki', 'jaringan', 'internet', 'nya', 'gangguan', 'sinyal', 'menghilang', 'darurat', 'kecepatan', 'jaringan', 'internet', 'diperbaiki', 'pengguna', 'setia', 'xl', 'kecewa', 'terima kasih', 'tolong', 'diperbaiki', 'jaringan', 'internet']",aplikasi jujur bagus tolong baik jaring internet nya ganggu sinyal hilang darurat cepat jaring internet baik guna setia xl kecewa terima kasih tolong baik jaring internet
"['selamat', 'malam', 'kak', 'maaf', 'beli', 'paketan', 'masuk', 'nya', 'iya', 'mohon', 'bantuannya', 'kak', 'kejadian', 'kalinya', 'kak']",selamat malam kak maaf beli paket masuk nya iya mohon bantu kak jadi kali kak
"['coba', 'iklan', 'promo', 'tidak', 'sesuai', 'kenyataan', 'jangan', 'ditampilkan', 'aplikasinya', 'isi', 'pulsa', 'murah', 'giliran', 'udh', 'isi', 'pulsa', 'pilihan', 'paket', 'berubah']",coba iklan promo tidak sesuai nyata jangan tampil aplikasi isi pulsa murah gilir udh isi pulsa pilih paket ubah
