Stopword Removal,Stemming
"['aplikasi', 'terhenti', 'gak', 'buka', 'copot', 'pasang', 'aplikasi', 'terhenti', 'aplikasi', 'myxl', 'tidak', 'menanggapi']",aplikasi henti gak buka copot pasang aplikasi henti aplikasi myxl tidak tanggap
"['koneksi', 'internet', 'hilang', 'lelet', 'pagi', 'malam', 'cuman', 'internet', 'menit', 'habis', 'hilang', 'bukan', 'doang', 'orang', 'merasakannya']",koneksi internet hilang lelet pagi malam cuman internet menit habis hilang bukan doang orang rasa
"['tolong', 'dirubah', 'penjualan', 'aktif', 'kartu', 'cepat', 'banget', 'tenggangnya', 'isi', 'ribu', 'ga', 'sebulan', 'aktif', 'jualan', 'aktif', 'saran', 'buang', 'budaya', 'pengguna', 'kaget', 'kebijakan', 'tidak', 'membandingkan', 'provider', 'saran', 'terima kasih']",tolong rubah jual aktif kartu cepat banget tenggang isi ribu ga bulan aktif jual aktif saran buang budaya guna kaget bijak tidak banding provider saran terima kasih
"['aplikasi', 'myxl', 'pelit', 'ga', 'myim', 'isi', 'ulang', 'pulsa', 'bener', 'boros', 'kouta', 'bener', 'yata']",aplikasi myxl pelit ga myim isi ulang pulsa bener boros kouta bener yata
"['membuka', 'myxl', 'aplikasi', 'nya', 'dipake', 'gini', 'developer', 'tolong', 'perbaiki']",buka myxl aplikasi nya dipake gin developer tolong baik
"['mudah', 'cepat', 'terima', 'kasih', 'sdh', 'melayani', 'terima kasih', 'xl']",mudah cepat terima kasih sdh layan terima kasih xl
"['praktis', '&', 'cepat', 'top', 'up', 'cek', 'kuota', 'pulsa', 'dan lain lain']",praktis  cepat top up cek kuota pulsa dan lain lain
"['jelek', 'astaga', 'aplikasi', 'dibuka', 'menunggu', 'aktifkan', 'kuota', 'unlimited', 'hapus', 'unduh', 'aplikasi', 'nya', 'ttp', 'tidak', 'login', 'menunya', 'parah']",jelek astaga aplikasi buka tunggu aktif kuota unlimited hapus unduh aplikasi nya ttp tidak login menu parah
"['aplikasi', 'xl', 'unlimited', 'ambil', 'bonus', 'isi', 'ulang']",aplikasi xl unlimited ambil bonus isi ulang
"['tolong', 'tingkat', 'sinyal', 'nya', 'semenjak', 'xl', 'beli', 'sm', 'axis', 'sinyal', 'nye', 'parah', 'banget']",tolong tingkat sinyal nya semenjak xl beli sm axis sinyal nye parah banget
"['ga', 'perubahan', 'lambat', 'xl', 'tutup', 'perusahaan', 'xl', 'ga']",ga ubah lambat xl tutup usaha xl ga
