c,gamma,accuracy,precision,recall
1,0.1,83.42391304347827,84.77,83.42391304347827
1,0.99,93.20652173913044,94.32,93.20652173913044
1,1.0,93.20652173913044,94.32,93.20652173913044
1,5.0,90.76086956521739,92.94,90.76086956521739
1,10.0,78.80434782608695,87.60,78.80434782608695
1,100.0,52.71739130434783,81.69,52.71739130434783
